COMUNAS_ZONAS_DESCRIPCION,LATITUD_Y,LONGITUD_X,n
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598838534,-74.07230142,1
No registra,4.649394011,-74.09025076,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59910989,-74.06936743,1
No registra,4.6494777531,-74.0591979854,1
No registra,4.649602193,-74.09925846,1
No registra,4.649289884,-74.10644744,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60181025,-74.07303176,1
No registra,4.64833952,-74.0659392,1
No registra,4.6450860376,-74.100608,1
No registra,4.6441242323,-74.0617812303,1
No registra,4.644132774,-74.06207148,1
No registra,4.644479698,-74.06368034,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599704771,-74.0686268,1
No registra,4.6448362819,-74.0850488981,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599530598,-74.06976307,1
No registra,4.645059923,-74.0751507,1
No registra,4.645269528,-74.07235825,1
No registra,4.647760051,-74.10092137,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599517621,-74.06565491,1
No registra,4.6453756094,-74.0544827514,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599450782,-74.06949315,1
No registra,4.6454350151,-74.0723979808,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.599250264,-74.06960312,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598694161,-74.07098714,1
No registra,4.6470676258,-74.066709,1
No registra,4.6458461273,-74.0624381833,1
No registra,4.651161553,-74.06223189,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598640689,-74.07384101,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598125691,-74.07493639,1
No registra,4.653956168,-74.1165258075,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598116278,-74.07485298,1
No registra,4.654090608,-74.1144397,1
No registra,4.654118369,-74.1148979,1
No registra,4.6542175883,-74.1141373561,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598009725,-74.07596532,1
No registra,4.6542728697,-74.1133566241,1
No registra,4.654343073,-74.09014528,1
No registra,4.6546384593,-74.1145454921,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597958537,-74.07466522,1
No registra,4.654766753,-74.1124661,1
No registra,4.6556222561,-74.1148264418,1
No registra,4.655662545,-74.0554311,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597945559,-74.06918469,1
No registra,4.6558502372,-74.1138526085,1
No registra,4.653844658,-74.11468646,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598260651,-74.07528481,1
No registra,4.650941659,-74.06358007,1
No registra,4.653774694,-74.06024421,1
No registra,4.651161553,-74.0622318915,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59850701,-74.07769534,1
No registra,4.644124232,-74.06178123,1
No registra,4.651588433,-74.1008569203,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598488129,-74.06721135,1
No registra,4.651846721,-74.11462125,1
No registra,4.652189698,-74.11275578,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59846958,-74.07617453,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598453148,-74.07149753,1
No registra,4.652424443,-74.05468465,1
No registra,4.652804718,-74.05649057,1
No registra,4.652885099,-74.11006776,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598325207,-74.06959775,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.598271736,-74.06973723,1
No registra,4.6536951752,-74.0914060407,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600145519,-74.07776585,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600257809,-74.07294593,1
No registra,4.6438929788,-74.0630144522,1
No registra,4.631672889,-74.06395664,1
No registra,4.62952399,-74.07501129,1
No registra,4.629829583,-74.08875493,1
No registra,4.630768801,-74.0928655,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.667982061,-74.05285073,1
No registra,4.6312892884,-74.0641107903,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.667658325,-74.05131582,1
No registra,4.631535761,-74.14632373,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.667529616,-74.05473909,1
No registra,4.6294845266,-74.0655805794,1
No registra,4.63190987,-74.06513992,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.667503273,-74.0543038,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.667152839,-74.05338263,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.664928637,-74.04727719,1
No registra,4.633067342,-74.06194563,1
UPZ No. 96 LOURDES ENO REPORTADO3,4.584104087,-74.06916401,1
UPZ No. 95 LAS CRUCES ENO REPORTADO3,4.589729263,-74.07888432,1
No registra,4.629484527,-74.06558058,1
No registra,4.629302731,-74.08982775,1
No registra,4.633812842,-74.06392834,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.647455576,-74.062834,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.650591685,-74.06427625,1
No registra,4.62347742,-74.06624583,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.650495444,-74.06321946,1
No registra,4.623514669,-74.06607947,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.649549067,-74.06448546,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.649415398,-74.06449619,1
No registra,4.626169431,-74.06586221,1
No registra,4.628559509,-74.06502268,1
No registra,4.628965844,-74.06518361,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.645073811,-74.06386319,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.64504173,-74.06365398,1
UPZ No. 99 CHAPINERO ENO REPORTADO2,4.644993218,-74.06388811,1
No registra,4.628695707,-74.06887228,1
UPZ No. 98 LOS ALCAZARES ENO REPORTADO12,4.661185813,-74.06517288,1
No registra,4.62883422,-74.0652311,1
UPZ No. 97 CHICO LAGO ENO REPORTADO2,4.668305132,-74.05261401,1
UPZ No. 95 LAS CRUCES ENO REPORTADO3,4.589432839,-74.07799307,1
No registra,4.6338128422,-74.0639283386,1
No registra,4.6438811514,-74.058478,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600691318,-74.06895134,1
